"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
79649.2,51995.4,7.48149,246.248,105.324,0.230505
81058.4,41833.8,389.753,239.157,126.556,0.230738
65070,64991,13288.1,295.954,157.224,0.231135
44467.1,32554.4,51.1068,150.869,47.0067,0.232882
46785.9,54830.2,33.5232,235.466,129.041,0.233198
106055,52558.1,61.5559,342.346,177.367,0.233277
56676.2,79389.1,57.5107,266.064,134.727,0.233482
75475.1,39381.3,2.83136,263.661,108.671,0.234199
56362.7,45208.7,57.2583,212.281,44.0015,0.234381
45108.3,52733.5,21460.2,181.503,62.7012,0.234424
57268.3,53120.4,2.75056,196.088,90.9975,0.235997
101571,83728.5,62370.6,1223.87,196.214,0.237412
121949,52094,394.755,467.188,270.818,0.237695
84898.6,41416.7,23.5506,277.994,135.511,0.237845
83602.6,45962.7,93.1551,315.267,112.344,0.238951
69729.8,53625.4,227.839,228.363,171.071,0.239149
44794.5,67650,10.9019,273.055,124.92,0.241242
103022,46274.4,53.6533,260.691,121.975,0.241313
74512.8,85597,65.2117,354.205,182.878,0.242846
45644.5,54535.5,3.62457,274.326,99.4136,0.243525
48719.2,50584.6,31.4361,135.102,74.5267,0.24422
50078.8,71970,38.6481,403.63,109.196,0.244813
104940,78992,198.455,292.296,160.737,0.246615
112497,78829.8,31.5092,404.114,307.862,0.246722
109787,47615.6,12.1143,292.929,135.184,0.247422
51679.1,50778,22.6721,271.431,111.492,0.248106
53483.2,35999.1,2.52747,150.221,76.3077,0.251949
46119.3,44267.7,17.6364,158.63,36.9228,0.252873
63081,39969.1,8.8589,234.259,59.0947,0.255568
103863,52602.6,-6.8302,355.18,154.424,0.256807
80739.9,51792.4,-2.69481,339.972,68.6454,0.257819
136865,73142.8,-8.79774,473.549,215.84,0.258181
48706.2,62227.5,119.137,339.343,118.766,0.258949
52641.9,75019.3,46.5968,289.058,170.876,0.259126
53860.8,60389,61.9846,375.633,144.388,0.260458
51036.4,67242.7,50.5317,305.161,139.037,0.2616
71582,40560.8,-1.37632,244.972,109.852,0.263428
71373.2,76641.8,20.5081,217.978,98.7565,0.263456
77449.4,59861.7,-7.97665,347.371,133.943,0.264391
46640.1,52029.7,4110.96,295.603,109.918,0.269217
67585.5,45761.2,-8.68485,266.346,105.981,0.270268
64840.8,37141.9,2.04332,217.694,65.7735,0.270369
78510,45717.8,341.367,324.936,153.969,0.271822
77729.7,45389,16.0432,446.419,91.787,0.272538
71959.3,60364.5,31.5575,402.869,148.822,0.273645
75338.5,67310.5,-7.37155,338.155,143.605,0.274425
90773.3,41399.9,5.00551,253.757,56.8907,0.278682
52433.9,71265.5,11.442,208.076,115.228,0.28274
94087.4,42972.3,1.62558,235.821,89.9447,0.28377
114916,53300.4,1.83214,288.072,74.0555,0.283913
79176,64568.7,-4.5006,324.656,87.641,0.285106
40529.9,46146.6,21.8844,177.207,92.4448,0.288218
93049.8,67142.5,-0.220882,365.902,112.541,0.290845
87279.7,29538.1,521.596,220.683,109.13,0.291933
98093.6,64374.8,-13.8217,399.342,246.312,0.293116
61629.5,38411,0.498478,175.846,93.0368,0.294467
86322.9,53814.2,20.4395,324.516,151.819,0.295386
57021.2,47550.1,593.19,259.842,104.93,0.295685
99369.9,60033.7,-3.38979,346.464,122.106,0.29695
49146.4,52600.2,2122.18,227.297,74.3226,0.300281
55145.4,48622.5,102.745,219.402,150.712,0.300732
52583.7,42733.9,-2.87925,226.515,67.8439,0.302372
110024,87644.7,15972.6,696.377,232.702,0.304317
110819,46355.7,350.459,320.524,177.691,0.30859
61195.3,89092,10800.3,588.978,132.898,0.308789
50648.2,71830.7,83.631,176.848,86.7851,0.310319
64712.1,47633.6,1.17733,293.633,84.612,0.311886
56094.1,76672.5,24.917,279.828,110.049,0.312065
88103.4,91332,22.3949,427.92,124.855,0.313637
107736,56535.1,25130.6,419.65,167.499,0.314101
93931.3,80119.2,2.31749,495.248,176.069,0.315374
84634,52508.3,89.9047,306.566,163.209,0.316949
121093,84818.9,169.543,498.856,225.95,0.318677
66386.1,45980.5,175.264,242.42,85.2706,0.319854
53148.9,48640.4,244.254,292.366,77.8244,0.319882
128244,58677.5,63.4544,439.205,164.899,0.321831
101419,51121.6,171.254,299.892,125.051,0.323106
83765.4,44259.4,1.75016,309.093,100.268,0.326828
117321,63367.2,273.022,387.36,135.446,0.327178
114618,45960,45.9251,341.299,178.729,0.327388
74385.2,34345.5,35.669,283.916,127.275,0.32981
68735.3,41256.7,11.1793,219.117,151.363,0.332135
56424.3,71450.1,42.3362,241.427,108.277,0.332656
68638.6,83574.2,15.2957,289.832,145.301,0.333745
81664.5,77398.1,91.0372,418.064,142.496,0.334637
73825.2,34728.9,49.4008,243.838,82.6358,0.335124
62871.4,36272.2,10.8974,178.854,137.209,0.335441
100570,43930.4,5.32006,266.134,108.343,0.335823
61084.3,37800.9,95.1522,135.102,95.3385,0.335864
109884,56018.5,-0.724587,403.561,183.137,0.338305
73093.1,42480.2,28.8538,289.832,117.849,0.339688
80165.3,79014,0.560147,294.899,159.957,0.340196
70750.8,41274.4,10.2418,242.916,96.0617,0.340388
93869.9,52057.9,11.9895,334.241,136.817,0.34068
67744.9,35347.9,3.8838,240.788,79.4726,0.341916
97590.4,46993.3,6.98341,311.339,119.749,0.342621
115134,56850.8,-9.32091,365.485,158.655,0.343783
49696.3,46024,55.565,147.272,78.4837,0.344358
99466.9,59392.3,14.1437,299.821,94.5494,0.345547
48677.4,74937.7,162.561,369.449,267.369,0.345947
99753.9,74319.1,21744,653.646,202.354,0.346002
91533.3,62738.8,422.132,368.267,192.656,0.348271
87650.2,35791.8,12807.4,766.726,44.7361,0.348563
103732,72357.2,12.0023,367.78,143.801,0.348942
50510,53824.8,4881.45,188.657,107.556,0.349074
104444,76391.1,281.838,269.949,124.593,0.351248
66579.5,62434.7,23.1128,263.095,189.097,0.351499
89576,51542.1,347.832,309.234,180.739,0.351887
66277,69173.3,39.1821,259.489,147.779,0.352943
80078.5,58677.1,-7.40698,429.917,191.298,0.353767
66874.9,71448.8,32.6737,304.038,150.581,0.354969
35701.9,49108.7,46493,164.302,102.829,0.356248
90989,61142.9,-6.36422,316.809,156.052,0.356863
119495,52616.4,0.225657,328.506,125.967,0.357636
66648.1,86725.5,111.824,378.203,187.931,0.358162
130399,71132.7,-2.83198,398.996,187.866,0.3584
83263.3,53400,182.105,271.502,126.294,0.359178
57532.1,54743.4,56.1264,226.87,131.068,0.359563
103808,76168.8,77.33,344.859,176.134,0.363251
54496.7,64600.7,53079.2,852.742,113.983,0.364375
67560.8,56146.3,26509.6,379.105,115.949,0.36584
68228.8,43137.4,-19.8102,277.43,129.891,0.36593
93173.3,51296.8,5.53196,298.275,111.951,0.36974
124515,82004.6,44.3658,468.351,127.406,0.371641
96646.3,46793.9,17171.8,283.211,124.397,0.381951
103133,43281.6,0.167408,276.513,86.6535,0.382851
101615,31904.4,8.96923,291.592,102.37,0.383979
116063,55668.5,54.7421,385.973,141.779,0.387703
72041.5,58047.6,30.5429,271.431,115.359,0.390149
81216.4,62870.6,44.791,266.417,130.545,0.391507
117742,37643.9,19.763,317.58,148.105,0.393057
103427,60198.6,35.3446,350.092,136.295,0.394477
52797.6,64888.5,275.862,144.394,33.3169,0.406604
79175.5,51830.2,15.3126,301.578,112.147,0.408788
44601.9,66302.3,12.8716,186.869,120.731,0.411939
51864.5,78746.5,95.6074,245.61,165.679,0.412335
65034.4,30285.4,-12.6567,193.588,74.2558,0.412371
73280,37256.3,1.188,194.588,87.7727,0.415319
112620,72177.4,26.6172,410.886,154.489,0.416803
60040,28827.5,12.8706,195.017,80.9885,0.419096
93719,51287.4,11.1158,333.053,96.5218,0.419202
120867,60791.8,15.367,420.753,139.821,0.421193
52798.5,42988.2,4.96389,142.306,79.9999,0.421376
55722.2,51085.7,27.8594,175.774,90.8001,0.421438
60325.8,31065.8,35.3721,238.376,94.3521,0.423611
78339.5,56439.4,8.29823,356.922,142.04,0.425777
54425,68155.1,12.6441,210.357,197.96,0.426007
106783,66701.7,8.68604,382.575,144.062,0.427062
87394.1,83794.1,26.4649,350.859,186.118,0.427807
109397,70433.8,3.21939,405.842,206.229,0.429813
77882.6,31373.8,15313,295.462,105.521,0.430436
60661.4,83035.5,10.2594,261.61,150.451,0.431944
71352.6,65138.9,86.6968,283.423,120.796,0.432477
86593.5,46559.1,10.0067,232.626,122.106,0.433346
96267.6,55208.1,20.2153,363.676,141.191,0.435049
92085.8,44352.6,2.32642,296.658,151.493,0.435475
126625,81420.4,21.913,408.882,157.94,0.436094
46106.4,52819.6,21.2474,186.654,169.318,0.437283
101449,70605,139.526,441.06,181.258,0.437903
104190,40101.3,16.4427,312.532,160.607,0.438167
64185.8,41288.1,7212.36,190.73,81.5157,0.438943
57835.3,54282.5,42.3217,241.64,89.484,0.439636
99737.4,78242.1,-5.61802,423.235,211.069,0.442048
97984.2,44368.9,6.98049,285.748,131.917,0.442241
105553,67935.1,14.6772,362.98,129.172,0.442303
89883.6,65990.2,73.4275,324.376,131.525,0.4431
73626.9,65451.5,38.6974,245.398,129.303,0.443247
65534.2,70621.2,5029.19,266.629,142.17,0.443944
43441.5,31195.7,-2.3111,175.057,99.085,0.44503
39975.5,46344.3,35.6915,179.785,113.59,0.446567
80282.8,75023,-5.26805,408.468,176.653,0.446963
96472.9,48707.4,-2.54653,230.708,49.7447,0.447455
49981.6,47840.1,145.623,274.608,125.574,0.447938
52493.1,73950.8,36435.2,267.265,164.964,0.448598
105377,69328.6,96.3275,443.259,160.998,0.44938
126276,44238.3,24.4913,357.758,182.619,0.461347
52416.3,53245,29493.9,367.432,112.475,0.461544
63678.7,74398.6,77328,221.679,129.695,0.462333
121085,58256.4,24.4927,450.057,218.353,0.463614
65451.8,65734.5,231.443,278.84,185.664,0.46409
67535.4,49093,11.3862,240.434,99.6107,0.464791
123447,61609.4,111236,2053.29,186.442,0.465814
38369.6,42229,8.86222,151.947,78.7474,0.466698
109378,62041.5,13.5325,261.115,181.387,0.4673
76736.6,37657.9,6875.53,206.936,109.327,0.469215
80616.4,55098.4,78.0125,296.376,100.136,0.469588
45864,53264,18.1659,171.402,71.8513,0.49319
88735.4,51465.3,112.559,255.456,181.906,0.494478
66203.5,36942.3,2076.27,191.945,132.767,0.507431
55250.5,62232.2,219.65,226.088,133.159,0.510113
60953,89554.3,103.724,394.289,176.718,0.512788
56207,76138.7,1135.03,288.354,158.135,0.513742
91592,88261.8,41.6775,330.745,226.658,0.51443
57752.4,83110,-12.8957,325.566,145.106,0.516613
61458,48786,12691.1,10169.8,138.841,0.516698
60201.4,79203.2,168.878,274.749,138.907,0.51872
104676,65860.3,-10.2084,409.988,140.734,0.518908
59638.1,65535.1,9517.3,223.955,145.953,0.519593
69832,45672.1,2.83801,255.031,76.3077,0.520535
126595,66226.7,57.2035,409.021,154.424,0.520879
107903,76744.9,15.4383,376.536,110.442,0.521551
71094.3,39678.4,0.92921,166.813,87.7727,0.521632
55075.2,82825,44.4761,265.074,166.719,0.523406
73736.4,29790.6,-19.5421,99.2576,30.5791,0.524173
99412.4,70433.3,44.9145,445.182,172.824,0.525168
54310.4,56306.4,81.4938,148.207,51.6147,0.525428
118868,60326.2,-14.3016,436.936,159.566,0.525637
76590.3,87189.6,384.105,313.934,173.733,0.526701
52175.9,65002.3,56.2708,150.581,99.8735,0.528325
101729,59138,10.772,266.346,63.2355,0.528916
53026,50300.4,998.585,262.53,161.388,0.52965
74019.2,70372.5,149.937,276.866,94.7467,0.529889
96326.2,57484.2,65.3203,368.893,123.48,0.53027
57164.4,67566.8,19.0393,248.728,203.775,0.530655
61608.7,43511.7,13.683,171.761,94.1549,0.53155
62067.4,26369.5,3.13568,259.842,101.187,0.531704
105358,53705.4,-4.36307,420.685,159.501,0.533802
117662,74034.4,13.3332,432.739,156.898,0.535768
108960,57064.2,23.2385,290.325,87.8385,0.53754
133096,54173.4,39.5351,374.939,140.539,0.538175
78532.1,59282.1,527.793,652.519,130.283,0.541576
70395,52294,5949.05,201.086,67.2428,0.553467
107301,67829.3,-0.66376,338.854,138.646,0.559999
52014.7,29726.9,117.419,229.145,72.3189,0.566134
56090.5,62965.8,14247.3,990.495,120.338,0.574098
86798.9,41187.3,9.30103,281.379,84.8096,0.579924
97872.6,43346.4,1.3286,307.268,128.714,0.582789
65956,88485.6,18.5139,425.027,152.601,0.596788
103301,71900,147.263,305.021,119.094,0.598748
41712.6,41747.8,14.6388,166.956,112.213,0.599046
61347.4,65922.2,47.0609,298.486,151.102,0.599242
75655.7,57778.4,10.5642,324.866,107.096,0.5996
108101,43253.9,1341.93,268.324,85.5999,0.601397
52326.4,29044.3,155.043,160.21,14.287,0.601544
84179.1,40213,44.0564,197.802,83.4923,0.601602
115331,55036.4,-9.26927,318.772,128.452,0.603566
51322.1,75883.3,14.997,282.225,140.408,0.603587
92538.1,43505.8,52.1271,212.281,119.88,0.604041
88429.4,67989.6,0.255981,362.423,139.56,0.604944
49753.3,48553.7,3.29267,197.802,113,0.606518
